Parameter Name,Description,Units,Parameter Type,Default,Typical Range,Comment
`num_phytos`,Number of phytoplankton groups,NA,Integer,NA,0-7,NA
`the_phytos`,List of ID's of groups in aed_phyto_pars.nml (len=num_phyto),NA,Integer,NA,1/7/17,NA
`X_excretion_target_variable`,"State variable to receive C, N or P from excretion",NA,String,NA,NA,NA
`X_mortality_target_variable`,"State variable to receive C, N or P from mortality",NA,String,NA,NA,NA
`X_uptake_target_variable`,"State variable to be linked C, N, P, Si or O2 uptake",NA,String,NA,NA,NA
`settling`,Settling calculation method,NA,Integer,NA,1/3/17,NA
`do_mpb`,Switch to enable microphytobenthos calculations,NA,float,NA,NA,NA
`R_mpbg`,Maximum rate of MPB growth,"$mmol C\,m^{-3}\,day^{-1}$",Float,5.00E-01,NA,NA
`R_mpbr`,Maximum rate of MPB respiration,"$mmol C\,m^{-3}\,day^{-1}$",Float,5.00E-02,NA,NA
`I_Kmpb`,Half saturation constant for light limitation of MPB growth,"$microE\,m^{-2}\,s^{-1}$",Float,100,NA,NA
`mpb_max`,Maximum MPB biomass,NA,Float,2000,NA,NA
`resuspension`,Resuspension rate of phytoplankton group x,NA,Float,NA,NA,NA
`resus_link`,Resuspension link variable,NA,String,NA,NA,NA
`n_zones`,Total number of active material zones,NA,Integer,NA,NA,NA
`active_zones`,AActive material Zone ID's,NA,Array,NA,NA,NA
`dbase`,Link to phy database,NA,String,NA,NA,NA
`extra_diag`,Include extra diags in nc output,NA,Boolean,.false.,NA,NA
`min_rho`,Minimum phytoplankton density,"$kg\,m^{-3}$",Float,900,NA,NA
`max_rho`,Maximum phytoplankton density,"$kg\,m^{-3}$",Float,1200,NA,NA
